Age,Industry_grouped,JobTitle_grouped,Salary,AdditionalComp,Country_cleaned,ExperienceOverall,ExperienceField,Education,Gender,Race
25-34,Healthcare,Engineering & IT,74000.0,0.0,United States,5-7 years,5-7 years,Master's degree,Woman,White
35-44,Tech,Management,50000.0,,United States,5-7 years,2 - 4 years,PhD,Woman,White
35-44,Tech,Strategist,46620.0,,Canada,11 - 20 years,8 - 10 years,Master's degree,Woman,White
35-44,Government,Education & Training,96000.0,1000.0,United States,8 - 10 years,2 - 4 years,PhD,Woman,Asian or Asian American
25-34,Education,Education & Training,44500.0,0.0,United States,5-7 years,2 - 4 years,,Woman,White
35-44,Education,Marketing & Communications,60000.0,0.0,United States,11 - 20 years,1 year or less,Master's degree,Woman,White
25-34,Tech,Executive,62000.0,,United States,5-7 years,2 - 4 years,College degree,Man,White
35-44,Legal,Management,48000.0,4000.0,United States,11 - 20 years,2 - 4 years,College degree,Woman,Another option not listed here or prefer not to answer
35-44,Government,Finance & Accounting,140000.0,,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Engineering & Manufacturing,Engineering & IT,80000.0,,United States,5-7 years,5-7 years,College degree,Woman,White
25-34,Tech,Management,39000.0,,United States,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Tech,Engineering & IT,125000.0,0.0,United States,11 - 20 years,8 - 10 years,Master's degree,Woman,White
25-34,Finance,Consulting,230000.0,,United States,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Finance,Management,110000.0,15000.0,United States,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Tech,Management,50000.0,,United States,5-7 years,2 - 4 years,College degree,Woman,White
35-44,Education,Management,68000.0,0.0,United States,5-7 years,2 - 4 years,Master's degree,Woman,White
18-24,Tech,Marketing & Communications,41000.0,100.0,United States,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Finance,Management,76000.0,10000.0,United States,5-7 years,2 - 4 years,College degree,Woman,White
35-44,Government,Executive,78000.0,0.0,United States,8 - 10 years,5-7 years,Master's degree,Woman,White
25-34,Finance,Other,37000.0,0.0,United States,2 - 4 years,2 - 4 years,College degree,Woman,White
45-54,Engineering & Manufacturing,Management,100000.0,50000.0,United States,21 - 30 years,21 - 30 years,College degree,Woman,White
35-44,Marketing,Management,43750.0,7500.0,United Kingdom,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Government,Management,65000.0,0.0,United States,5-7 years,5-7 years,College degree,Man,White
25-34,Tech,Engineering & IT,187500.0,5000.0,United States,8 - 10 years,5-7 years,College degree,Woman,White
25-34,Tech,Data & Analytics,110000.0,20000.0,United States,8 - 10 years,8 - 10 years,Master's degree,Man,White
25-34,Tech,Management,66625.0,1500.0,United States,8 - 10 years,8 - 10 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
35-44,Tech,Engineering & IT,144600.0,2500.0,United States,5-7 years,5-7 years,PhD,Woman,White
35-44,Tech,Executive,200850.0,40000.0,United States,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Engineering & Manufacturing,Engineering & IT,88800.0,1110.0,Canada,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Retail,Management,72150.0,7400.0,Canada,8 - 10 years,8 - 10 years,College degree,Woman,White
35-44,Education,Engineering & IT,96000.0,,United States,5-7 years,5-7 years,PhD,Woman,White
25-34,Education,Education & Training,53000.0,1000.0,United States,5-7 years,1 year or less,Master's degree,Woman,White
25-34,Marketing,Management,95000.0,10000.0,United States,8 - 10 years,8 - 10 years,College degree,Woman,White
35-44,Tech,Executive,72000.0,3000.0,United States,11 - 20 years,5-7 years,Master's degree,Woman,White
35-44,Tech,Engineering & IT,38480.0,0.0,Canada,11 - 20 years,11 - 20 years,College degree,Woman,Asian or Asian American
35-44,Engineering & Manufacturing,Engineering & IT,106000.0,0.0,United States,21 - 30 years,11 - 20 years,Master's degree,Woman,White
25-34,Government,Marketing & Communications,115000.0,,United States,5-7 years,5-7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Consulting,Management,100500.0,3000.0,United States,11 - 20 years,5-7 years,College degree,Woman,White
25-34,Legal,Legal,33200.0,0.0,United States,8 - 10 years,2 - 4 years,Some college,Woman,White
35-44,Government,Management,65000.0,0.0,United Kingdom,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Education,Management,52000.0,,United States,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Government,Management,58460.0,,Canada,8 - 10 years,5-7 years,Master's degree,Woman,White
65 or over,Construction & Real Estate,Executive,104000.0,25000.0,United States,41 years or more,21 - 30 years,College degree,Man,White
25-34,Education,Education & Training,55500.0,,Canada,5-7 years,2 - 4 years,College degree,Woman,Asian or Asian American
18-24,Tech,Education & Training,52000.0,,United States,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Education,Engineering & IT,70000.0,0.0,United States,5-7 years,2 - 4 years,Master's degree,Non-binary,White
25-34,Tech,Management,84000.0,8400.0,United States,5-7 years,5-7 years,Master's degree,Woman,White
35-44,Healthcare,Management,53000.0,0.0,United States,21 - 30 years,11 - 20 years,Master's degree,Woman,White
25-34,Tech,Engineering & IT,34000.0,2000.0,United States,5-7 years,5-7 years,College degree,Woman,White
25-34,Tech,Management,38000.0,,United States,5-7 years,2 - 4 years,Master's degree,Woman,White
25-34,Government,Engineering & IT,87000.0,0.0,United States,5-7 years,2 - 4 years,Master's degree,Man,White
35-44,Other,Engineering & IT,122000.0,3600.0,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Finance,Data & Analytics,56250.0,2500.0,United Kingdom,5-7 years,2 - 4 years,Master's degree,Woman,White
25-34,Engineering & Manufacturing,Management,45000.0,,United States,5-7 years,5-7 years,Some college,Woman,White
35-44,Tech,Engineering & IT,88000.0,,United States,11 - 20 years,8 - 10 years,College degree,Woman,Another option not listed here or prefer not to answer
35-44,Tech,Management,71000.0,0.0,United States,11 - 20 years,8 - 10 years,Master's degree,Woman,White
45-54,Education,Management,71000.0,,United States,11 - 20 years,11 - 20 years,PhD,Woman,White
35-44,Education,Education & Training,75000.0,0.0,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Education,Management,80000.0,0.0,United States,21 - 30 years,11 - 20 years,Master's degree,Woman,White
35-44,Tech,Management,125000.0,,United States,11 - 20 years,8 - 10 years,Master's degree,Woman,White
35-44,Education,Other,65000.0,,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,White
45-54,Education,Education & Training,45000.0,,United Kingdom,21 - 30 years,21 - 30 years,College degree,Woman,White
25-34,Tech,Creative Arts,55000.0,,United States,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Art & Design,Management,90000.0,1000.0,United States,11 - 20 years,8 - 10 years,College degree,Woman,White
35-44,Engineering & Manufacturing,Management,105000.0,13000.0,United States,8 - 10 years,5-7 years,College degree,Woman,White
35-44,Tech,Administrative,44400.0,0.0,Canada,11 - 20 years,11 - 20 years,High School,Man,White
35-44,Education,Engineering & IT,65000.0,0.0,United States,11 - 20 years,8 - 10 years,Master's degree,Woman,White
25-34,Consulting,Management,85000.0,8500.0,United States,5-7 years,2 - 4 years,Master's degree,Woman,White
25-34,Marketing,Other,39520.0,,United States,8 - 10 years,2 - 4 years,Some college,Woman,White
45-54,Tech,Executive,85100.0,,Canada,21 - 30 years,21 - 30 years,Master's degree,Man,White
25-34,Other,Data & Analytics,76000.0,0.0,United States,8 - 10 years,5-7 years,College degree,Woman,White
55-64,Consulting,Executive,180000.0,60000.0,United States,31 - 40 years,11 - 20 years,Master's degree,Woman,White
25-34,Finance,Management,90000.0,0.0,United States,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Government,Engineering & IT,24125.0,0.0,United Kingdom,5-7 years,5-7 years,Some college,Man,White
55-64,Consulting,Management,65000.0,5000.0,United States,31 - 40 years,11 - 20 years,Master's degree,Woman,White
45-54,Tech,Management,98166.0,0.0,United States,21 - 30 years,21 - 30 years,College degree,Man,White
25-34,Education,Executive,63500.0,,United States,5-7 years,1 year or less,Master's degree,Woman,White
55-64,Other,Management,58.0,,United States,21 - 30 years,8 - 10 years,Master's degree,Woman,White
25-34,Tech,Marketing & Communications,47700.0,2000.0,United States,5-7 years,2 - 4 years,College degree,Woman,White
55-64,Tech,Executive,87000.0,8000.0,United States,31 - 40 years,31 - 40 years,Some college,Man,White
35-44,Tech,Marketing & Communications,35520.0,,Canada,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Education,Administrative,39635.0,305.0,United States,2 - 4 years,2 - 4 years,College degree,Woman,"Asian or Asian American, White"
25-34,Government,Administrative,53000.0,,United States,8 - 10 years,5-7 years,College degree,Man,White
45-54,Education,Executive,47255.0,0.0,United States,31 - 40 years,21 - 30 years,Some college,Woman,White
35-44,Construction & Real Estate,Management,196000.0,10000.0,United States,11 - 20 years,11 - 20 years,College degree,Man,White
45-54,Healthcare,Executive,34361.0,0.0,United States,21 - 30 years,11 - 20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
45-54,Engineering & Manufacturing,Executive,150000.0,20000.0,United States,21 - 30 years,21 - 30 years,College degree,Woman,White
25-34,Tech,Creative Arts,75000.0,0.0,United States,5-7 years,5-7 years,College degree,Woman,White
35-44,Education,Intern,20000.0,,United States,5-7 years,2 - 4 years,College degree,Woman,White
25-34,Tech,Management,107220.0,16083.0,United States,8 - 10 years,5-7 years,Master's degree,Woman,Asian or Asian American
35-44,Government,Management,57720.0,,Canada,11 - 20 years,5-7 years,College degree,Woman,"Asian or Asian American, White"
45-54,Education,Education & Training,95000.0,10000.0,United States,21 - 30 years,11 - 20 years,PhD,Man,White
45-54,Marketing,Management,42000.0,,United States,21 - 30 years,11 - 20 years,Master's degree,Woman,White
25-34,Finance,Management,100000.0,5000.0,United States,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Tech,Engineering & IT,62500.0,,United Kingdom,5-7 years,2 - 4 years,High School,Man,White
35-44,Education,Executive,119000.0,2500.0,United States,11 - 20 years,8 - 10 years,College degree,Woman,White
45-54,Finance,Finance & Accounting,82500.0,6250.0,United Kingdom,21 - 30 years,21 - 30 years,Master's degree,Woman,White
35-44,Logistics,Management,64800.00000000001,3240.0,Netherlands,11 - 20 years,11 - 20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
25-34,Education,Executive,75000.0,,United States,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Education,Education & Training,145000.0,15000.0,United States,2 - 4 years,2 - 4 years,PhD,Woman,White
25-34,Finance,Consulting,70300.0,7400.0,Canada,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Marketing,Engineering & IT,48000.0,2000.0,United States,5-7 years,5-7 years,Master's degree,Woman,White
45-54,Finance,Executive,75000.0,10000.0,United States,21 - 30 years,21 - 30 years,College degree,Woman,White
35-44,Tech,Engineering & IT,42000.0,0.0,United States,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Tech,Administrative,54000.0,100.0,United States,21 - 30 years,8 - 10 years,Master's degree,Woman,White
35-44,Education,Education & Training,68080.0,,Canada,5-7 years,5-7 years,PhD,Woman,White
45-54,Government,Executive,63587.5,0.0,United Kingdom,21 - 30 years,11 - 20 years,Master's degree,Woman,White
55-64,Healthcare,Management,60000.0,500.0,United States,31 - 40 years,31 - 40 years,College degree,Woman,Middle Eastern or Northern African
55-64,Tech,Management,101500.0,0.0,United States,31 - 40 years,21 - 30 years,College degree,Woman,White
25-34,Education,Education & Training,36883.0,150.0,United States,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Tech,Engineering & IT,85000.0,0.0,United States,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Education,Management,62000.0,0.0,United States,5-7 years,5-7 years,College degree,Woman,White
35-44,Tech,Management,130000.0,0.0,United States,11 - 20 years,11 - 20 years,College degree,Man,White
55-64,Education,Executive,55000.0,,United States,21 - 30 years,21 - 30 years,Master's degree,Woman,White
25-34,Government,Management,59015.0,,United States,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Consulting,Management,71000.0,3000.0,United States,5-7 years,5-7 years,College degree,Woman,White
45-54,Nonprofit,Executive,53000.0,,United States,21 - 30 years,8 - 10 years,Master's degree,Woman,White
25-34,Education,Management,63000.0,0.0,United States,5-7 years,5-7 years,Master's degree,Woman,White
35-44,Engineering & Manufacturing,Marketing & Communications,95000.0,5000.0,United States,21 - 30 years,21 - 30 years,College degree,Woman,White
35-44,Other,Management,85000.0,0.0,Australia,11 - 20 years,8 - 10 years,Master's degree,Man,White
35-44,Tech,Legal,35000.0,3000.0,United States,11 - 20 years,11 - 20 years,Some college,Woman,White
18-24,Tech,Executive,33280.0,500.0,United States,5-7 years,2 - 4 years,College degree,Non-binary,White
35-44,Finance,Management,56000.0,2500.0,United States,11 - 20 years,8 - 10 years,Some college,Woman,White
35-44,Education,Executive,85000.0,,United States,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Education,Engineering & IT,62000.0,0.0,United States,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Legal,Legal,74000.0,,United States,8 - 10 years,2 - 4 years,Master's degree,Non-binary,White
25-34,Tech,Marketing & Communications,63000.0,1000.0,United States,5-7 years,2 - 4 years,College degree,Woman,White
25-34,Tech,Management,56250.0,12500.0,United Kingdom,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Education,Education & Training,19440.0,0.0,Spain,8 - 10 years,5-7 years,College degree,Woman,White
35-44,Tech,Management,86000.0,6000.0,United States,11 - 20 years,8 - 10 years,College degree,Woman,White
18-24,Other,Other,23750.0,0.0,United Kingdom,2 - 4 years,1 year or less,Master's degree,Man,White
35-44,Education,Engineering & IT,42000.0,,United States,11 - 20 years,11 - 20 years,Master's degree,Man,White
55-64,Healthcare,Management,114000.0,30000.0,United States,21 - 30 years,8 - 10 years,College degree,Man,White
45-54,Finance,Executive,73000.0,0.0,United States,31 - 40 years,31 - 40 years,High School,Woman,White
35-44,Tech,Management,67500.0,0.0,United Kingdom,11 - 20 years,11 - 20 years,College degree,Woman,White
45-54,Healthcare,Data & Analytics,100000.0,0.0,United States,21 - 30 years,11 - 20 years,Master's degree,Woman,White
25-34,Media & Entertainment,Engineering & IT,33750.0,,United Kingdom,11 - 20 years,5-7 years,College degree,Woman,White
18-24,Government,Data & Analytics,60129.0,3000.0,United States,2 - 4 years,1 year or less,Master's degree,Woman,White
45-54,Education,Data & Analytics,135000.0,0.0,United States,11 - 20 years,11 - 20 years,PhD,Woman,White
25-34,Tech,Executive,130000.0,,United States,11 - 20 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
25-34,Education,Education & Training,26000.0,,United States,2 - 4 years,2 - 4 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, Middle Eastern or Northern African, White"
25-34,Finance,Management,60000.0,0.0,United States,5-7 years,5-7 years,Master's degree,Woman,White
35-44,Tech,Administrative,37000.0,0.0,United States,11 - 20 years,5-7 years,College degree,Woman,White
25-34,Engineering & Manufacturing,Strategist,85000.0,3000.0,United States,5-7 years,5-7 years,College degree,Woman,White
35-44,Tech,Engineering & IT,45000.0,20000.0,United States,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Tech,Executive,92000.0,0.0,United States,8 - 10 years,5-7 years,Master's degree,Woman,White
25-34,Healthcare,Healthcare,37.800000000000004,,Finland,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Engineering & Manufacturing,Engineering & IT,65000.0,4000.0,United States,5-7 years,2 - 4 years,College degree,Man,White
35-44,Marketing,Creative Arts,35000.0,0.0,United States,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Finance,Administrative,74000.0,1000.0,United States,8 - 10 years,5-7 years,College degree,Woman,White
25-34,Engineering & Manufacturing,Executive,102500.0,20000.0,United States,5-7 years,5-7 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
25-34,Government,Data & Analytics,117500.0,1500.0,United States,8 - 10 years,5-7 years,Master's degree,,"Hispanic, Latino, or Spanish origin"
35-44,Tech,Executive,70000.0,,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,White
45-54,Tech,Management,140000.0,5000.0,United States,21 - 30 years,11 - 20 years,Some college,Woman,White
35-44,Tech,Engineering & IT,58000.0,4000.0,United States,11 - 20 years,8 - 10 years,Master's degree,Woman,White
35-44,Marketing,Marketing & Communications,400000.0,0.0,United States,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Tech,Executive,61200.0,0.0,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Marketing,Executive,106250.0,12500.0,United Kingdom,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Tech,Engineering & IT,66000.0,0.0,United States,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Tech,Engineering & IT,70000.0,0.0,United States,8 - 10 years,5-7 years,College degree,Woman,Black or African American
25-34,Education,Marketing & Communications,52000.0,,United States,5-7 years,5-7 years,College degree,Woman,White
45-54,Construction & Real Estate,Management,75500.0,5000.0,United States,21 - 30 years,11 - 20 years,Some college,Woman,White
25-34,Marketing,Engineering & IT,57000.0,0.0,United States,8 - 10 years,2 - 4 years,Master's degree,Woman,White
25-34,Tech,Administrative,83200.0,,United States,8 - 10 years,8 - 10 years,Master's degree,Woman,White
18-24,Marketing,Management,77500.0,,United States,2 - 4 years,2 - 4 years,College degree,Woman,"Black or African American, White"
35-44,Retail,Other,31200.0,,United States,11 - 20 years,1 year or less,College degree,Woman,White
25-34,Healthcare,Other,38750.0,1250.0,United Kingdom,2 - 4 years,1 year or less,Master's degree,Woman,White
35-44,Marketing,Executive,215000.0,10000.0,United States,11 - 20 years,11 - 20 years,College degree,Woman,Another option not listed here or prefer not to answer
25-34,Education,Administrative,55000.0,2500.0,United States,8 - 10 years,5-7 years,College degree,Man,White
45-54,Legal,Management,220000.0,0.0,United States,11 - 20 years,11 - 20 years,PhD,Woman,Asian or Asian American
25-34,Retail,Executive,100000.0,,United States,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Tech,Data & Analytics,80000.0,,United States,5-7 years,2 - 4 years,Master's degree,Woman,White
35-44,Education,Executive,63000.0,2000.0,United States,11 - 20 years,8 - 10 years,,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Education,Education & Training,52500.0,,United States,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Tech,Creative Arts,38880.0,0.0,France,2 - 4 years,2 - 4 years,Master's degree,Woman,White
25-34,Finance,Management,94000.0,,United States,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Engineering & Manufacturing,Engineering & IT,57000.0,0.0,United States,5-7 years,5-7 years,College degree,Woman,White
35-44,Tech,Management,83000.0,8000.0,United States,8 - 10 years,5-7 years,College degree,Woman,White
35-44,Tech,Executive,90000.0,0.0,United States,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Tech,Management,66950.0,0.0,United States,8 - 10 years,5-7 years,College degree,Woman,White
25-34,Government,Strategist,76000.0,0.0,United States,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
25-34,Engineering & Manufacturing,Engineering & IT,65000.0,7500.0,United Kingdom,8 - 10 years,8 - 10 years,Master's degree,Woman,White
25-34,Tech,Management,70000.0,5000.0,United States,8 - 10 years,5-7 years,Master's degree,Woman,White
25-34,Education,Education & Training,60000.0,2500.0,United States,2 - 4 years,2 - 4 years,PhD,Non-binary,White
35-44,Engineering & Manufacturing,Marketing & Communications,80000.0,0.0,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Tech,Engineering & IT,70000.0,0.0,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Education,Education & Training,34299.0,,United States,8 - 10 years,2 - 4 years,Master's degree,Woman,White
25-34,Tech,Management,112500.0,0.0,United Kingdom,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Education,Executive,50000.0,0.0,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Tech,Executive,85000.0,0.0,United States,11 - 20 years,5-7 years,College degree,Woman,White
35-44,Retail,Management,87000.0,15000.0,United States,8 - 10 years,2 - 4 years,High School,Woman,White
35-44,Legal,Administrative,125000.0,,United States,11 - 20 years,2 - 4 years,Master's degree,Woman,White
35-44,Construction & Real Estate,Administrative,55000.0,5000.0,United States,11 - 20 years,5-7 years,Some college,Woman,White
55-64,Legal,Legal,275000.0,0.0,United States,31 - 40 years,31 - 40 years,Master's degree,Woman,White
25-34,Other,Management,48500.0,,United States,5-7 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
35-44,Engineering & Manufacturing,Engineering & IT,139000.0,9000.0,United States,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Legal,Legal,54080.0,500.0,United States,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Finance,Management,170000.0,30000.0,United States,11 - 20 years,8 - 10 years,Master's degree,Woman,White
25-34,Marketing,Management,44400.0,,Canada,8 - 10 years,8 - 10 years,College degree,Woman,White
45-54,Education,Education & Training,70000.0,1000.0,United States,21 - 30 years,11 - 20 years,Master's degree,Man,White
25-34,Tech,Marketing & Communications,53000.0,0.0,United States,5-7 years,2 - 4 years,College degree,Woman,White
35-44,Healthcare,Engineering & IT,82160.0,,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Tech,Project & Program Management,71000.0,,United States,11 - 20 years,2 - 4 years,College degree,Woman,White
18-24,Engineering & Manufacturing,Engineering & IT,25700.0,0.0,United States,5-7 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Tech,Other,105000.0,0.0,United States,8 - 10 years,8 - 10 years,College degree,Woman,White
35-44,Education,Management,77000.0,,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Healthcare,Marketing & Communications,50000.0,,United States,11 - 20 years,5-7 years,Master's degree,Woman,White
25-34,Tech,Marketing & Communications,31521.25,,United Kingdom,5-7 years,5-7 years,College degree,Woman,White
25-34,Government,Executive,31616.0,,United States,5-7 years,2 - 4 years,College degree,Non-binary,White
35-44,Government,Other,95000.0,2000.0,United States,11 - 20 years,8 - 10 years,Master's degree,Woman,White
18-24,Consulting,Data & Analytics,62000.0,,United States,1 year or less,1 year or less,College degree,Woman,White
35-44,Healthcare,Engineering & IT,75000.0,7500.0,United States,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Education,Education & Training,71000.0,,United States,5-7 years,5-7 years,College degree,Non-binary,White
45-54,Tech,Data & Analytics,88000.0,,United States,21 - 30 years,11 - 20 years,Master's degree,Woman,White
25-34,Construction & Real Estate,Management,31500.0,0.0,United States,8 - 10 years,2 - 4 years,College degree,Woman,"Asian or Asian American, White"
25-34,Healthcare,Engineering & IT,76000.0,,United States,5-7 years,2 - 4 years,Master's degree,Woman,White
35-44,Healthcare,Engineering & IT,165000.0,30000.0,United States,21 - 30 years,21 - 30 years,College degree,Non-binary,White
25-34,Finance,Data & Analytics,45760.0,0.0,United States,11 - 20 years,2 - 4 years,Some college,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Marketing,Management,86000.0,0.0,United States,5-7 years,5-7 years,College degree,Woman,White
25-34,Engineering & Manufacturing,Management,57897.6,0.0,Canada,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Education,Consulting,56000.0,0.0,United States,8 - 10 years,5-7 years,Master's degree,Woman,White
35-44,Marketing,Sales,28812.5,,United Kingdom,11 - 20 years,8 - 10 years,,Woman,White
25-34,Tech,Sales,67000.0,2000.0,United States,8 - 10 years,2 - 4 years,College degree,Woman,White
25-34,Legal,Administrative,125000.0,,United States,5-7 years,5-7 years,Master's degree,Woman,White
25-34,Construction & Real Estate,Management,55000.0,0.0,United States,5-7 years,2 - 4 years,College degree,Woman,White
35-44,Tech,Management,125000.0,50000.0,United States,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Healthcare,Other,60000.0,,United States,8 - 10 years,2 - 4 years,College degree,Woman,White
25-34,Legal,Administrative,190000.0,,United States,1 year or less,1 year or less,Master's degree,Woman,White
45-54,Tech,Data & Analytics,60320.0,0.0,United States,21 - 30 years,8 - 10 years,Some college,Woman,White
35-44,Healthcare,Management,125000.0,18750.0,United States,5-7 years,2 - 4 years,PhD,Woman,White
45-54,Education,Education & Training,94000.0,,United States,21 - 30 years,21 - 30 years,PhD,Woman,White
25-34,Healthcare,Other,72520.0,0.0,Canada,8 - 10 years,2 - 4 years,Master's degree,Woman,White
35-44,Government,Administrative,49000.0,0.0,United States,11 - 20 years,11 - 20 years,Some college,Woman,White
35-44,Tech,Executive,120000.0,0.0,United States,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Education,Education & Training,28000.0,0.0,United States,2 - 4 years,2 - 4 years,Master's degree,Non-binary,White
55-64,Tech,Consulting,135000.0,,United States,31 - 40 years,31 - 40 years,College degree,Woman,White
35-44,Education,Finance & Accounting,40575.0,0.0,United States,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Tech,Management,75500.0,0.0,United States,8 - 10 years,8 - 10 years,Master's degree,Woman,White
25-34,Marketing,Management,115000.0,12000.0,United States,5-7 years,5-7 years,College degree,Woman,White
35-44,Government,Data & Analytics,70000.0,,United States,8 - 10 years,5-7 years,Master's degree,Woman,White
25-34,Tech,Creative Arts,110000.0,1400.0,United States,5-7 years,5-7 years,College degree,Woman,White
18-24,Agriculture,Engineering & IT,29000.0,0.0,United States,1 year or less,1 year or less,Some college,Woman,White
